Unnamed: 0_no_transform,tenure_no_transform,MonthlyCharges_no_transform
0.0,1.0,29.850000381469727
1.0,34.0,56.95000076293945
2.0,2.0,53.84999847412109
3.0,45.0,42.29999923706055
4.0,2.0,70.69999694824219
5.0,8.0,99.6500015258789
6.0,22.0,89.0999984741211
7.0,10.0,29.75
8.0,28.0,104.8000030517578
9.0,62.0,56.150001525878906
10.0,13.0,49.95000076293945
11.0,16.0,18.950000762939453
12.0,58.0,100.3499984741211
13.0,49.0,103.6999969482422
14.0,25.0,105.5
15.0,69.0,113.25
16.0,52.0,20.649999618530277
17.0,71.0,106.6999969482422
18.0,10.0,55.20000076293945
19.0,21.0,90.05000305175781
20.0,1.0,39.650001525878906
21.0,12.0,19.799999237060547
22.0,1.0,20.149999618530277
23.0,58.0,59.900001525878906
24.0,49.0,59.59999847412109
25.0,30.0,55.29999923706055
26.0,47.0,99.3499984741211
27.0,1.0,30.200000762939453
28.0,72.0,90.25
29.0,17.0,64.69999694824219
30.0,71.0,96.3499984741211
31.0,2.0,95.5
32.0,27.0,66.1500015258789
33.0,1.0,20.200000762939453
34.0,1.0,45.25
35.0,72.0,99.9000015258789
36.0,5.0,69.69999694824219
37.0,46.0,74.80000305175781
38.0,34.0,106.3499984741211
39.0,11.0,97.8499984741211
40.0,10.0,49.54999923706055
41.0,70.0,69.19999694824219
42.0,17.0,20.75
43.0,63.0,79.8499984741211
44.0,13.0,76.19999694824219
45.0,49.0,84.5
46.0,2.0,49.25
47.0,2.0,80.6500015258789
48.0,52.0,79.75
49.0,69.0,64.1500015258789
50.0,43.0,90.25
51.0,15.0,99.0999984741211
52.0,25.0,69.5
53.0,8.0,80.6500015258789
54.0,60.0,74.8499984741211
55.0,18.0,95.4499969482422
56.0,63.0,99.6500015258789
57.0,66.0,108.4499969482422
58.0,34.0,24.950000762939453
59.0,72.0,107.5
60.0,47.0,100.5
61.0,60.0,89.9000015258789
62.0,72.0,42.09999847412109
63.0,18.0,54.400001525878906
64.0,9.0,94.4000015258789
65.0,3.0,75.30000305175781
66.0,47.0,78.9000015258789
67.0,31.0,79.19999694824219
68.0,50.0,20.149999618530277
69.0,10.0,79.8499984741211
70.0,1.0,49.04999923706055
71.0,52.0,20.399999618530277
72.0,64.0,111.5999984741211
73.0,62.0,24.25
74.0,3.0,64.5
75.0,56.0,110.5
76.0,46.0,55.650001525878906
77.0,8.0,54.650001525878906
78.0,30.0,74.75
79.0,45.0,25.899999618530277
80.0,1.0,79.3499984741211
81.0,11.0,50.54999923706055
82.0,7.0,75.1500015258789
83.0,42.0,103.8000030517578
84.0,49.0,20.149999618530277
85.0,9.0,99.3000030517578
86.0,35.0,62.150001525878906
87.0,48.0,20.649999618530277
88.0,46.0,19.950000762939453
89.0,29.0,33.75
90.0,30.0,82.05000305175781
91.0,1.0,74.69999694824219
92.0,66.0,84.0
93.0,65.0,111.0500030517578
94.0,72.0,100.9000015258789
95.0,12.0,78.94999694824219
96.0,71.0,66.8499984741211
97.0,5.0,21.049999237060547
98.0,52.0,21.0
99.0,25.0,98.5
100.0,1.0,20.200000762939453
101.0,1.0,19.450000762939453
102.0,38.0,95.0
103.0,66.0,45.54999923706055
104.0,68.0,110.0
105.0,5.0,24.299999237060547
106.0,72.0,104.1500015258789
107.0,32.0,30.149999618530277
108.0,43.0,94.3499984741211
109.0,72.0,19.399999618530277
110.0,55.0,96.75
111.0,52.0,57.95000076293945
112.0,43.0,91.6500015258789
113.0,37.0,76.5
114.0,64.0,54.59999847412109
115.0,3.0,89.8499984741211
116.0,36.0,31.049999237060547
117.0,10.0,100.25
118.0,41.0,20.649999618530277
119.0,27.0,85.19999694824219
120.0,56.0,99.8000030517578
121.0,6.0,20.700000762939453
122.0,3.0,74.4000015258789
123.0,7.0,50.70000076293945
124.0,4.0,20.850000381469727
125.0,33.0,88.94999694824219
126.0,27.0,78.05000305175781
127.0,72.0,23.549999237060547
128.0,1.0,19.75
129.0,71.0,56.45000076293945
130.0,13.0,85.94999694824219
131.0,25.0,58.59999847412109
132.0,67.0,50.54999923706055
133.0,1.0,35.45000076293945
134.0,2.0,44.34999847412109
135.0,43.0,25.700000762939453
136.0,23.0,75.0
137.0,64.0,20.200000762939453
138.0,57.0,19.600000381469727
139.0,1.0,70.44999694824219
140.0,72.0,88.05000305175781
141.0,8.0,71.1500015258789
142.0,61.0,101.0500030517578
143.0,64.0,84.30000305175781
144.0,71.0,23.950000762939453
145.0,65.0,99.0500030517578
146.0,3.0,19.600000381469727
147.0,1.0,45.650001525878906
148.0,30.0,64.5
149.0,15.0,69.5
150.0,8.0,68.55000305175781
151.0,7.0,95.0
152.0,70.0,108.1500015258789
153.0,62.0,86.0999984741211
154.0,6.0,19.700000762939453
155.0,14.0,80.9000015258789
156.0,22.0,84.1500015258789
157.0,22.0,20.149999618530277
158.0,16.0,64.25
159.0,10.0,25.700000762939453
160.0,13.0,56.0
161.0,20.0,82.4000015258789
162.0,2.0,69.69999694824219
163.0,53.0,73.9000015258789
164.0,11.0,20.600000381469727
165.0,69.0,19.899999618530277
166.0,4.0,70.9000015258789
167.0,72.0,89.05000305175781
168.0,58.0,45.29999923706055
169.0,16.0,20.399999618530277
170.0,43.0,84.25
171.0,2.0,104.4000015258789
172.0,14.0,81.94999694824219
173.0,53.0,94.8499984741211
174.0,32.0,20.549999237060547
175.0,34.0,24.700000762939453
176.0,15.0,74.44999694824219
177.0,7.0,76.44999694824219
178.0,15.0,105.3499984741211
179.0,61.0,20.549999237060547
180.0,1.0,29.950000762939453
181.0,1.0,45.29999923706055
182.0,8.0,84.5
183.0,33.0,74.75
184.0,13.0,79.25
185.0,1.0,24.799999237060547
186.0,20.0,51.79999923706055
187.0,3.0,30.399999618530277
188.0,13.0,19.649999618530277
189.0,40.0,56.59999847412109
190.0,43.0,71.9000015258789
191.0,6.0,91.0
192.0,69.0,19.75
193.0,72.0,109.6999969482422
194.0,59.0,19.299999237060547
195.0,20.0,96.5500030517578
196.0,24.0,24.100000381469727
197.0,59.0,111.3499984741211
198.0,72.0,112.25
199.0,1.0,20.75
200.0,27.0,101.9000015258789
201.0,14.0,80.05000305175781
202.0,71.0,105.5500030517578
203.0,13.0,78.30000305175781
204.0,44.0,68.8499984741211
205.0,33.0,79.94999694824219
206.0,72.0,55.45000076293945
207.0,1.0,79.9000015258789
208.0,19.0,106.5999984741211
209.0,64.0,102.4499969482422
210.0,2.0,46.0
211.0,1.0,25.25
212.0,61.0,19.75
213.0,29.0,20.0
214.0,23.0,86.80000305175781
215.0,57.0,58.75
216.0,72.0,45.25
217.0,66.0,56.59999847412109
218.0,65.0,84.19999694824219
219.0,8.0,80.0
220.0,4.0,70.1500015258789
221.0,71.0,24.75
222.0,1.0,20.200000762939453
223.0,4.0,50.04999923706055
224.0,12.0,19.350000381469727
225.0,24.0,50.59999847412109
226.0,31.0,81.1500015258789
227.0,1.0,55.20000076293945
228.0,30.0,89.9000015258789
229.0,47.0,85.30000305175781
230.0,54.0,108.0
231.0,50.0,93.5
232.0,1.0,84.5999984741211
233.0,72.0,20.25
234.0,29.0,25.149999618530277
235.0,2.0,54.400001525878906
236.0,10.0,29.600000381469727
237.0,18.0,73.1500015258789
238.0,11.0,95.0
239.0,16.0,19.75
240.0,72.0,86.5999984741211
241.0,72.0,109.1999969482422
242.0,41.0,74.69999694824219
243.0,65.0,94.4000015258789
244.0,13.0,54.79999923706055
245.0,4.0,75.3499984741211
246.0,41.0,65.0
247.0,15.0,74.4000015258789
248.0,1.0,48.54999923706055
249.0,42.0,99.0
250.0,51.0,93.5
251.0,2.0,70.4000015258789
252.0,1.0,40.20000076293945
253.0,32.0,83.69999694824219
254.0,10.0,19.850000381469727
